Time,"Charlotte - Tenth St, Pedestrians","Charlotte - Pecan Ave, Pedestrians","Charlotte - South Tryon Rd, Pedestrians","Charlotte - North Tryon Rd, Pedestrians","Charlotte - Stonewall St, Pedestrians","Charlotte - University City Blvd, Pedestrians","Charlotte - Selwyn Ave, Pedestrians","Charlotte - 4th St Extension, Pedestrians","Charlotte - Elizabeth Ave, Pedestrians","Charlotte - Blue Line Trail, Pedestrians"
09-02-2017 00:00:00,10,254,,668,,454,181,86,772,
10-02-2017 00:00:00,9,274,,672,,373,186,60,443,
11-02-2017 00:00:00,19,648,,655,,248,535,227,420,
12-02-2017 00:00:00,14,629,,641,,235,516,236,332,
13-02-2017 00:00:00,12,285,,721,,544,248,116,574,
14-02-2017 00:00:00,17,306,,848,,437,261,74,761,
15-02-2017 00:00:00,11,216,,696,,459,184,93,626,
16-02-2017 00:00:00,17,268,,748,,486,191,93,749,
17-02-2017 00:00:00,13,427,,803,,445,291,99,730,
18-02-2017 00:00:00,15,471,,655,,196,377,142,250,
19-02-2017 00:00:00,13,644,,695,,225,475,208,352,
20-02-2017 00:00:00,18,457,,785,,465,349,172,818,
21-02-2017 00:00:00,15,340,,809,,475,262,131,975,
22-02-2017 00:00:00,12,277,,764,,443,236,127,916,
23-02-2017 00:00:00,14,425,,769,,460,302,123,832,
24-02-2017 00:00:00,34,545,,884,,349,272,126,511,
25-02-2017 00:00:00,26,684,,931,,206,451,162,341,
26-02-2017 00:00:00,26,352,,631,,236,400,120,331,
27-02-2017 00:00:00,8,280,,817,,462,233,,678,
28-02-2017 00:00:00,,378,,1223,,421,341,241,790,1464
01-03-2017 00:00:00,,375,,845,205,378,269,105,747,1144
02-03-2017 00:00:00,,353,3114,695,203,446,242,115,727,299
03-03-2017 00:00:00,,340,2732,658,264,327,224,104,453,281
04-03-2017 00:00:00,,513,1450,493,265,181,384,103,334,
05-03-2017 00:00:00,,406,740,591,184,195,401,164,425,
06-03-2017 00:00:00,,268,3080,743,273,273,198,80,,
07-03-2017 00:00:00,,334,3179,785,256,205,297,100,,
08-03-2017 00:00:00,,381,3450,742,332,283,277,227,,
09-03-2017 00:00:00,,471,3340,724,321,238,242,130,609,
10-03-2017 00:00:00,,365,2715,825,276,272,198,109,560,
11-03-2017 00:00:00,,455,1042,575,233,202,334,79,215,
12-03-2017 00:00:00,,374,499,567,235,137,222,80,121,
13-03-2017 00:00:00,,146,2367,789,177,365,245,,328,
14-03-2017 00:00:00,,244,2756,657,223,428,195,299,235,
15-03-2017 00:00:00,,163,2656,587,122,385,155,57,211,
16-03-2017 00:00:00,,322,2735,693,182,445,180,85,257,
17-03-2017 00:00:00,,385,2526,710,221,348,242,93,281,
18-03-2017 00:00:00,,485,1235,1172,279,199,278,90,223,
19-03-2017 00:00:00,,424,761,635,245,263,411,123,180,
20-03-2017 00:00:00,,399,3322,722,326,466,254,147,719,
21-03-2017 00:00:00,,431,3376,766,315,405,341,144,707,
22-03-2017 00:00:00,,349,3239,779,303,458,307,105,647,
23-03-2017 00:00:00,,321,3116,642,404,424,236,78,740,
24-03-2017 00:00:00,,407,2834,788,463,335,213,148,574,
25-03-2017 00:00:00,,607,1026,644,347,194,377,157,296,
26-03-2017 00:00:00,,367,869,602,203,205,382,118,149,
27-03-2017 00:00:00,,314,3302,760,375,422,283,139,683,
28-03-2017 00:00:00,,377,3546,742,300,430,322,153,699,
29-03-2017 00:00:00,,471,3449,709,359,430,386,155,724,
30-03-2017 00:00:00,,224,2936,739,505,421,161,78,612,
31-03-2017 00:00:00,,440,2699,775,732,338,242,121,596,
01-04-2017 00:00:00,,838,1145,626,870,270,525,195,295,
02-04-2017 00:00:00,,540,938,782,543,236,464,206,283,
