Time,"Charlotte - Tenth St, Pedestrians","Charlotte - Pecan Ave, Pedestrians","Charlotte - South Tryon Rd, Pedestrians","Charlotte - North Tryon Rd, Pedestrians","Charlotte - Stonewall St, Pedestrians","Charlotte - University City Blvd, Pedestrians","Charlotte - Selwyn Ave, Pedestrians","Charlotte - 4th St Extension, Pedestrians","Charlotte - Elizabeth Ave, Pedestrians","Charlotte - Blue Line Trail, Pedestrians"
26-12-2017 00:00:00,,,,,,172,,,,536
27-12-2017 00:00:00,,,,,,186,,,,597
28-12-2017 00:00:00,,,,,,169,,,,591
29-12-2017 00:00:00,,,,,,183,,,,708
30-12-2017 00:00:00,,,,,,151,,,,1040
31-12-2017 00:00:00,,,,,,105,,,,507
01-01-2018 00:00:00,,,,,,102,,,,458
02-01-2018 00:00:00,,,,,,172,,,,527
03-01-2018 00:00:00,,,,,,197,,,335,569
04-01-2018 00:00:00,,,,,,220,,,311,642
05-01-2018 00:00:00,,,,,,199,,,377,476
06-01-2018 00:00:00,,,,,,163,,,209,860
07-01-2018 00:00:00,,,,,,137,,,70,512
08-01-2018 00:00:00,,,,,,375,,,503,418
09-01-2018 00:00:00,,,,,,497,,,637,1506
10-01-2018 00:00:00,,,,,,461,,,590,1294
11-01-2018 00:00:00,,,,,,442,,,938,892
12-01-2018 00:00:00,,,,,,346,,,596,582
13-01-2018 00:00:00,,,,,,209,,,250,1399
14-01-2018 00:00:00,,,,,,165,,,113,614
15-01-2018 00:00:00,,,,,,200,,,257,654
16-01-2018 00:00:00,,,,,,387,,,,744
17-01-2018 00:00:00,,,,,,293,,,,604
18-01-2018 00:00:00,,,,,,296,,,,541
19-01-2018 00:00:00,,,,,,395,,,,589
20-01-2018 00:00:00,,,,,,284,,,,
21-01-2018 00:00:00,,,,,,298,,,,
22-01-2018 00:00:00,,,,,,421,,,,
23-01-2018 00:00:00,,,,,,483,,,,
24-01-2018 00:00:00,,,,,,535,,,,
25-01-2018 00:00:00,,,,,319,482,,,,
26-01-2018 00:00:00,,,,,198,402,,,,
27-01-2018 00:00:00,,,,,235,219,,,,
28-01-2018 00:00:00,,,,,60,142,,,,
29-01-2018 00:00:00,,,,,222,532,,,,
30-01-2018 00:00:00,,,,,244,471,,,,
31-01-2018 00:00:00,,,,,264,506,,,,951
01-02-2018 00:00:00,,,,,177,471,,,,1136
02-02-2018 00:00:00,,,,,147,359,,105,,672
03-02-2018 00:00:00,,,,,207,186,,97,,1349
04-02-2018 00:00:00,,,,,65,189,,32,,331
05-02-2018 00:00:00,,,,,184,500,,124,,1002
06-02-2018 00:00:00,,,,,189,474,,109,,1155
07-02-2018 00:00:00,,,,,115,397,,51,,785
08-02-2018 00:00:00,,,,,209,476,,119,843,1183
09-02-2018 00:00:00,,,,,267,418,,127,741,1428
10-02-2018 00:00:00,,,,,202,191,,101,298,1182
11-02-2018 00:00:00,,,,,149,197,,100,156,1374
12-02-2018 00:00:00,,,,,177,475,,100,857,1205
13-02-2018 00:00:00,,,,,206,452,,91,819,955
14-02-2018 00:00:00,,,,,180,474,,118,796,1168
15-02-2018 00:00:00,,,,,310,442,,150,980,2143
16-02-2018 00:00:00,,,,,328,359,,133,850,1990
17-02-2018 00:00:00,,,,,225,227,,74,215,1097
18-02-2018 00:00:00,,,,,271,221,,208,279,3042
19-02-2018 00:00:00,,,,,208,512,,96,753,1110
20-02-2018 00:00:00,,,,,288,486,,179,896,2134
21-02-2018 00:00:00,,,,,337,372,,153,945,2204
22-02-2018 00:00:00,,,,,324,430,316,124,1010,2062
23-02-2018 00:00:00,,,,,441,387,397,146,680,2632
24-02-2018 00:00:00,,,,,480,249,537,237,388,3212
25-02-2018 00:00:00,,,,,265,202,380,106,177,1452
26-02-2018 00:00:00,,,,,192,498,184,83,904,833
27-02-2018 00:00:00,,,,,390,512,376,140,1214,2024
28-02-2018 00:00:00,,,,,126,506,204,80,1577,697
01-03-2018 00:00:00,,,,,129,394,136,77,824,699
02-03-2018 00:00:00,,,,,232,362,239,130,718,1543
03-03-2018 00:00:00,,,,,208,189,392,169,296,2365
04-03-2018 00:00:00,,,,,249,184,418,147,273,2203
05-03-2018 00:00:00,,,,,220,279,296,156,852,1501
06-03-2018 00:00:00,,,,,82,189,108,59,568,408
07-03-2018 00:00:00,,,,,186,240,284,130,1354,1434
08-03-2018 00:00:00,,,,,149,198,223,77,787,861
09-03-2018 00:00:00,,,,,162,294,208,97,536,1132
10-03-2018 00:00:00,,,,,186,209,326,120,194,1449
11-03-2018 00:00:00,,,,,112,162,151,46,89,371
12-03-2018 00:00:00,,,,,118,358,86,49,326,492
13-03-2018 00:00:00,,,,,241,459,316,121,441,1349
14-03-2018 00:00:00,,,,,218,452,223,88,370,868
15-03-2018 00:00:00,,,,,232,533,281,168,742,1755
16-03-2018 00:00:00,,,,,319,381,354,142,895,2840
17-03-2018 00:00:00,,,,,426,264,408,193,515,2876
18-03-2018 00:00:00,,,,,366,251,516,176,316,2572
19-03-2018 00:00:00,,,,,243,422,275,128,877,1417
20-03-2018 00:00:00,,,,,221,418,344,149,994,1352
21-03-2018 00:00:00,,,,,179,476,133,60,660,671
22-03-2018 00:00:00,,,,,266,412,314,114,897,1252
23-03-2018 00:00:00,,,,,366,328,264,95,675,1564
24-03-2018 00:00:00,,,,,238,155,289,77,244,952
25-03-2018 00:00:00,,,,,292,168,347,115,137,1388
26-03-2018 00:00:00,,,,,296,372,273,126,847,1503
27-03-2018 00:00:00,,,,,160,396,268,114,842,1036
28-03-2018 00:00:00,,,,,255,371,270,204,951,2120
29-03-2018 00:00:00,,,,,247,334,298,188,1075,2410
30-03-2018 00:00:00,,,,,183,211,287,176,306,2366
31-03-2018 00:00:00,,,,,242,183,359,151,184,3319
01-04-2018 00:00:00,,,,,189,136,314,217,186,2175
02-04-2018 00:00:00,,,,,293,317,339,198,812,2493
03-04-2018 00:00:00,,,,,318,434,375,176,964,2255
04-04-2018 00:00:00,,,,,344,391,322,162,899,1891
05-04-2018 00:00:00,,,,,424,407,265,149,836,1682
06-04-2018 00:00:00,,,,,421,296,257,228,660,1825
07-04-2018 00:00:00,,,,,182,160,168,59,134,669
08-04-2018 00:00:00,,,,,301,190,373,141,170,2512
09-04-2018 00:00:00,,,,,252,376,228,115,816,1470
10-04-2018 00:00:00,,,,,307,401,412,282,864,2011
11-04-2018 00:00:00,,,,,357,399,302,171,1261,1961
12-04-2018 00:00:00,,,,,504,376,299,178,1180,2034
13-04-2018 00:00:00,,,,,569,307,273,334,915,2231
14-04-2018 00:00:00,,,,,381,166,401,210,433,4726
15-04-2018 00:00:00,,,,,176,139,236,140,103,
16-04-2018 00:00:00,,,,,248,367,253,88,799,
17-04-2018 00:00:00,,,,,287,421,456,184,1233,
18-04-2018 00:00:00,,,,,442,407,328,163,1244,
19-04-2018 00:00:00,,,3760,,289,365,314,178,1216,
20-04-2018 00:00:00,,,3337,,266,340,259,150,916,
21-04-2018 00:00:00,,,1418,,422,264,374,199,377,
22-04-2018 00:00:00,,,903,,442,195,386,177,167,
23-04-2018 00:00:00,,,2625,,73,297,74,32,535,
24-04-2018 00:00:00,,,3080,,213,342,152,74,675,
25-04-2018 00:00:00,,,3782,,397,452,317,194,917,
26-04-2018 00:00:00,,,3512,,259,337,285,144,906,
27-04-2018 00:00:00,,,3602,,493,358,253,170,698,
28-04-2018 00:00:00,,,1571,,388,215,411,249,505,
29-04-2018 00:00:00,,,965,,237,259,395,250,328,
30-04-2018 00:00:00,,,3970,,286,417,340,188,898,
01-05-2018 00:00:00,,,4072,,270,406,344,192,899,
02-05-2018 00:00:00,,,4059,,268,354,329,220,1059,
03-05-2018 00:00:00,,,3796,,301,285,276,180,872,
04-05-2018 00:00:00,,,3311,,215,306,300,134,741,
05-05-2018 00:00:00,,,1282,,345,287,400,178,519,
06-05-2018 00:00:00,,,1169,,303,242,341,187,319,
07-05-2018 00:00:00,,,3852,,328,348,391,172,763,
08-05-2018 00:00:00,,,4126,,395,414,400,214,797,
09-05-2018 00:00:00,,,4045,,389,421,303,230,677,
10-05-2018 00:00:00,,,3413,,235,293,282,121,729,
11-05-2018 00:00:00,,,3189,,218,231,230,125,553,
12-05-2018 00:00:00,,,1232,,258,143,293,147,304,
13-05-2018 00:00:00,,,752,,201,164,268,109,122,
14-05-2018 00:00:00,,,3321,,268,152,324,151,442,
15-05-2018 00:00:00,,,3456,,207,183,264,140,468,
16-05-2018 00:00:00,,,3113,,210,189,163,124,497,
17-05-2018 00:00:00,,,3534,,257,243,282,171,469,
18-05-2018 00:00:00,,,2913,,276,184,225,94,311,
19-05-2018 00:00:00,,,1118,,410,144,244,231,258,
20-05-2018 00:00:00,,,895,,247,119,288,193,203,
21-05-2018 00:00:00,,,3490,,314,239,299,147,674,
22-05-2018 00:00:00,,,3655,,349,288,326,172,648,
23-05-2018 00:00:00,,,3557,,308,246,283,142,589,
24-05-2018 00:00:00,,,3589,,234,187,243,143,566,
25-05-2018 00:00:00,,,3071,,184,171,251,189,335,
26-05-2018 00:00:00,,,1953,,288,145,240,161,184,
27-05-2018 00:00:00,,,1027,,173,148,249,176,213,
28-05-2018 00:00:00,,,545,,180,120,276,98,141,
29-05-2018 00:00:00,,,2808,,161,236,199,107,473,
30-05-2018 00:00:00,,,3475,,237,277,302,131,616,
31-05-2018 00:00:00,,,3095,,189,181,215,111,499,
01-06-2018 00:00:00,,,2726,,182,201,260,114,343,
02-06-2018 00:00:00,,,1263,,315,179,361,221,302,
03-06-2018 00:00:00,,,993,,238,188,333,220,192,
04-06-2018 00:00:00,,,3521,,323,333,332,195,525,
05-06-2018 00:00:00,,,3690,,284,258,398,197,560,
06-06-2018 00:00:00,,,3509,,273,268,319,185,530,
07-06-2018 00:00:00,,,3582,,270,274,262,173,465,
08-06-2018 00:00:00,,,3776,,236,160,242,183,273,
09-06-2018 00:00:00,,,2568,,319,149,292,172,229,
10-06-2018 00:00:00,,,1573,,260,119,291,176,192,
11-06-2018 00:00:00,,,3090,,297,170,244,164,416,
12-06-2018 00:00:00,,,3527,,303,275,342,169,568,
13-06-2018 00:00:00,,,3335,,290,229,304,176,609,
14-06-2018 00:00:00,,,3184,,394,181,231,137,474,
15-06-2018 00:00:00,,,2899,,274,216,204,152,270,
16-06-2018 00:00:00,,,1257,,336,124,262,125,196,
17-06-2018 00:00:00,,,1005,,247,88,229,151,160,
18-06-2018 00:00:00,,,2983,,245,119,243,157,349,
19-06-2018 00:00:00,,,3101,,286,198,257,109,434,
20-06-2018 00:00:00,,,3046,,228,171,233,159,439,
21-06-2018 00:00:00,,,3082,,277,139,188,168,456,
22-06-2018 00:00:00,,,2616,,249,166,204,131,269,
23-06-2018 00:00:00,,,1197,,313,130,231,155,267,
24-06-2018 00:00:00,,,946,,234,136,240,157,155,
25-06-2018 00:00:00,,,2943,,269,142,226,119,424,
26-06-2018 00:00:00,,,2906,,215,140,264,121,415,
27-06-2018 00:00:00,,,3008,,339,164,254,146,445,
28-06-2018 00:00:00,,,2976,,364,213,230,136,402,
29-06-2018 00:00:00,,,2481,,189,109,203,98,234,
30-06-2018 00:00:00,,,1052,,251,140,302,121,232,
01-07-2018 00:00:00,,,880,,200,148,262,120,133,
02-07-2018 00:00:00,,,2574,,231,103,199,134,381,
03-07-2018 00:00:00,,,2432,,196,95,183,81,549,
04-07-2018 00:00:00,,,2302,,359,44,202,175,148,
05-07-2018 00:00:00,,,2199,,197,131,152,100,331,
06-07-2018 00:00:00,,,1637,,129,154,141,140,162,
07-07-2018 00:00:00,,,983,,319,200,348,217,338,
08-07-2018 00:00:00,,,1192,,293,206,327,272,237,
09-07-2018 00:00:00,,,3108,,282,320,293,202,495,
10-07-2018 00:00:00,,,3187,,224,195,264,133,437,
11-07-2018 00:00:00,,,2740,,268,168,234,127,466,
12-07-2018 00:00:00,,,3001,,258,171,184,125,402,
13-07-2018 00:00:00,,,2787,,293,174,208,105,249,
14-07-2018 00:00:00,,,1256,,312,141,302,133,227,
15-07-2018 00:00:00,,,981,,229,95,232,135,123,
16-07-2018 00:00:00,,,2970,,278,145,238,147,414,
17-07-2018 00:00:00,,,3165,,263,136,271,152,456,
18-07-2018 00:00:00,,,3330,,267,141,220,129,334,
19-07-2018 00:00:00,,,3285,,327,142,293,142,433,
20-07-2018 00:00:00,,,2969,,292,145,197,175,274,
21-07-2018 00:00:00,,,1321,,344,139,302,161,261,
22-07-2018 00:00:00,,,2412,,384,126,322,233,279,
23-07-2018 00:00:00,,,2722,,303,171,222,94,448,
24-07-2018 00:00:00,,,3040,,269,221,301,184,314,
25-07-2018 00:00:00,,,3137,,220,223,275,156,359,
26-07-2018 00:00:00,,,3171,,247,,193,175,308,
27-07-2018 00:00:00,,,2846,,243,163,338,108,315,
28-07-2018 00:00:00,,,1187,,315,145,394,134,206,
29-07-2018 00:00:00,,,1024,,225,145,223,122,124,
30-07-2018 00:00:00,,,2986,,350,206,235,229,331,
31-07-2018 00:00:00,,,2979,,319,146,270,148,343,
01-08-2018 00:00:00,,,2630,,229,174,221,119,406,
02-08-2018 00:00:00,,,2538,,148,135,144,110,329,
03-08-2018 00:00:00,,,3681,,242,174,205,193,374,
04-08-2018 00:00:00,,,1305,,500,120,384,195,194,
05-08-2018 00:00:00,,,1079,,355,105,239,186,143,
06-08-2018 00:00:00,,,2716,,275,112,199,114,367,
07-08-2018 00:00:00,,,2979,,301,177,269,143,419,
08-08-2018 00:00:00,,,2820,,225,170,282,195,435,
09-08-2018 00:00:00,,,2880,,229,176,231,140,443,
10-08-2018 00:00:00,,,2576,,267,103,239,123,343,
11-08-2018 00:00:00,,,1305,,250,119,487,183,147,
12-08-2018 00:00:00,,,1104,,222,102,272,186,144,
13-08-2018 00:00:00,,,2914,,298,115,275,282,499,
14-08-2018 00:00:00,,,2948,,253,208,278,170,511,
15-08-2018 00:00:00,,,2943,,272,167,256,,962,
16-08-2018 00:00:00,,,2897,,189,129,186,142,899,
17-08-2018 00:00:00,,,3743,,271,142,215,138,681,
18-08-2018 00:00:00,,,2651,,237,152,311,133,489,
19-08-2018 00:00:00,,,2157,,297,165,307,161,214,
20-08-2018 00:00:00,,,2643,,297,305,293,170,798,
21-08-2018 00:00:00,,,2867,,236,504,346,131,880,
22-08-2018 00:00:00,,,2939,,243,400,297,167,789,
23-08-2018 00:00:00,,,2995,,294,478,371,161,838,
24-08-2018 00:00:00,,,4648,,292,351,253,190,596,
25-08-2018 00:00:00,,,1785,,378,200,413,126,321,
26-08-2018 00:00:00,,,1106,,301,186,339,154,229,
27-08-2018 00:00:00,,,2820,,255,348,247,172,751,
28-08-2018 00:00:00,,,3034,,276,391,290,134,733,
29-08-2018 00:00:00,,,2955,,257,294,292,94,657,
30-08-2018 00:00:00,,,2815,,203,326,194,100,706,
31-08-2018 00:00:00,,,2613,,299,332,226,102,588,
01-09-2018 00:00:00,,,4086,,423,189,324,160,161,
02-09-2018 00:00:00,,,1094,,225,144,221,119,133,
03-09-2018 00:00:00,,,851,,230,154,322,89,131,
04-09-2018 00:00:00,,,2617,,211,371,210,100,568,
05-09-2018 00:00:00,,,2815,,255,291,318,115,569,
06-09-2018 00:00:00,,,2653,,195,387,206,82,627,
07-09-2018 00:00:00,,,2563,,236,292,375,94,530,
08-09-2018 00:00:00,,,1960,,270,189,353,129,179,
09-09-2018 00:00:00,,,5160,,343,142,277,453,151,
10-09-2018 00:00:00,,,2729,,263,445,247,125,706,
11-09-2018 00:00:00,,,2783,,290,312,224,111,602,
12-09-2018 00:00:00,,,2723,,211,328,285,134,658,
13-09-2018 00:00:00,,,2598,,239,191,316,167,539,
14-09-2018 00:00:00,,,1607,,156,135,276,132,120,
15-09-2018 00:00:00,,,193,,32,73,81,37,39,
16-09-2018 00:00:00,,,97,,34,33,38,46,30,
17-09-2018 00:00:00,,,2143,,220,203,297,169,170,
18-09-2018 00:00:00,,,2845,,317,421,333,204,868,
19-09-2018 00:00:00,,,2840,,374,417,343,150,924,
20-09-2018 00:00:00,,,2725,,294,445,247,122,764,
21-09-2018 00:00:00,,,2497,,324,344,274,181,536,
22-09-2018 00:00:00,,,1484,,322,205,422,203,141,
23-09-2018 00:00:00,,,2436,,383,183,330,213,139,
24-09-2018 00:00:00,,,2621,,283,470,363,148,782,
25-09-2018 00:00:00,,,2856,,383,483,330,126,956,
26-09-2018 00:00:00,,,2627,,243,367,301,114,639,
27-09-2018 00:00:00,,,2534,,212,427,238,152,713,
28-09-2018 00:00:00,,,2337,,274,357,247,133,613,
29-09-2018 00:00:00,,,1327,,401,201,386,243,235,
30-09-2018 00:00:00,,,1214,,234,196,384,258,188,
01-10-2018 00:00:00,,,2796,,351,442,297,165,705,
02-10-2018 00:00:00,,,2985,,392,501,329,235,723,1943
03-10-2018 00:00:00,,,2982,,331,399,295,159,729,2241
04-10-2018 00:00:00,,,2886,,285,457,308,144,658,1796
05-10-2018 00:00:00,,,2430,,238,347,248,112,441,2223
06-10-2018 00:00:00,,,2280,,520,197,361,173,233,3998
07-10-2018 00:00:00,,,3213,,380,189,337,268,213,3193
08-10-2018 00:00:00,,,1949,,371,159,283,141,732,2023
09-10-2018 00:00:00,,,2873,,291,279,270,163,906,2392
10-10-2018 00:00:00,,,2322,,194,342,181,80,605,1479
11-10-2018 00:00:00,,,1647,,131,166,135,84,323,1859
12-10-2018 00:00:00,,,3210,,323,468,361,181,739,3700
13-10-2018 00:00:00,,,1618,,572,264,426,624,405,4188
14-10-2018 00:00:00,,,1120,,292,219,336,128,184,2891
15-10-2018 00:00:00,,,3648,,419,400,312,174,982,2826
16-10-2018 00:00:00,,,3540,,306,421,297,121,1021,1956
17-10-2018 00:00:00,,,3827,,301,503,258,213,989,2767
18-10-2018 00:00:00,,,3649,,289,501,294,261,888,2685
19-10-2018 00:00:00,,,3501,,267,376,304,149,639,3010
20-10-2018 00:00:00,,,1017,,350,172,313,135,466,2646
21-10-2018 00:00:00,,,1146,,266,232,391,207,171,2837
22-10-2018 00:00:00,,,3082,,294,457,300,153,975,2203
23-10-2018 00:00:00,,,2980,,269,453,355,176,949,2320
24-10-2018 00:00:00,,,2993,,272,451,304,157,877,2241
25-10-2018 00:00:00,,333,2937,,259,462,274,115,791,1701
26-10-2018 00:00:00,,129,1313,,97,171,43,33,308,343
27-10-2018 00:00:00,,707,1391,,412,180,442,184,191,2761
28-10-2018 00:00:00,,719,2608,,337,210,370,294,225,3180
29-10-2018 00:00:00,,444,2932,,258,469,262,143,797,1748
30-10-2018 00:00:00,,484,3057,,283,489,369,148,883,1895
31-10-2018 00:00:00,,597,3057,,274,457,267,187,793,1849
01-11-2018 00:00:00,,406,2916,,254,399,271,132,774,1620
02-11-2018 00:00:00,,340,2214,,226,344,140,101,505,1234
03-11-2018 00:00:00,,822,1787,,658,236,288,231,335,2372
04-11-2018 00:00:00,,575,2338,,482,213,301,221,184,2482
05-11-2018 00:00:00,,340,2563,,257,468,185,118,761,1248
06-11-2018 00:00:00,,392,2650,,256,488,212,131,817,1625
07-11-2018 00:00:00,,439,2960,,307,487,254,168,945,1836
08-11-2018 00:00:00,,345,2889,780,254,453,271,111,859,1135
09-11-2018 00:00:00,,262,2021,984,184,291,124,78,359,751
10-11-2018 00:00:00,,705,1523,808,357,210,415,198,306,2352
11-11-2018 00:00:00,,534,658,682,458,183,266,158,133,1731
12-11-2018 00:00:00,,121,1133,541,147,311,87,40,371,340
13-11-2018 00:00:00,,208,2339,1087,322,423,109,100,590,806
14-11-2018 00:00:00,,234,2445,782,247,466,123,74,720,797
15-11-2018 00:00:00,,160,1873,712,254,335,83,46,486,641
16-11-2018 00:00:00,,423,2286,776,309,369,201,103,596,1411
17-11-2018 00:00:00,,635,1438,584,383,233,357,182,210,2412
18-11-2018 00:00:00,,580,928,743,245,188,342,159,182,1902
19-11-2018 00:00:00,,381,2565,790,242,399,275,194,831,1470
20-11-2018 00:00:00,,375,2762,756,200,373,209,137,784,1314
21-11-2018 00:00:00,,406,1783,687,196,139,184,107,585,1120
22-11-2018 00:00:00,,326,2581,1054,164,108,230,92,101,794
23-11-2018 00:00:00,,329,666,483,179,116,157,57,99,739
24-11-2018 00:00:00,,294,399,464,139,111,162,64,105,1016
25-11-2018 00:00:00,,474,1754,738,283,155,318,161,265,1592
26-11-2018 00:00:00,,300,2442,721,240,369,178,98,652,1181
27-11-2018 00:00:00,,308,2589,645,191,457,201,105,818,1098
28-11-2018 00:00:00,,283,2633,674,181,381,199,93,704,982
29-11-2018 00:00:00,,308,3249,989,194,390,198,106,749,1313
30-11-2018 00:00:00,,313,2277,433,203,356,165,83,497,952
01-12-2018 00:00:00,,360,2505,319,269,172,247,76,157,941
02-12-2018 00:00:00,,503,1013,266,217,179,302,115,216,1556
03-12-2018 00:00:00,,368,2859,312,267,406,254,190,936,1891
04-12-2018 00:00:00,,380,2761,227,228,412,228,130,783,1216
05-12-2018 00:00:00,,293,2599,255,237,338,210,93,779,1046
06-12-2018 00:00:00,,282,2501,370,173,251,130,78,623,856
07-12-2018 00:00:00,,361,2392,283,158,278,169,102,494,1104
08-12-2018 00:00:00,,326,565,233,152,189,199,67,163,756
09-12-2018 00:00:00,,368,198,326,52,170,34,40,24,427
10-12-2018 00:00:00,,203,995,179,97,204,107,57,110,603
11-12-2018 00:00:00,,267,2407,320,181,319,219,104,631,1108
12-12-2018 00:00:00,,248,2597,315,153,263,212,91,553,1069
13-12-2018 00:00:00,,307,2493,148,193,305,222,105,558,1067
14-12-2018 00:00:00,,139,1651,275,94,164,62,39,224,448
15-12-2018 00:00:00,,381,796,149,175,133,220,153,143,1130
16-12-2018 00:00:00,,526,1215,346,309,164,387,239,141,2135
17-12-2018 00:00:00,,334,4414,252,410,172,223,191,533,1438
18-12-2018 00:00:00,,384,2933,462,261,119,354,118,435,1475
19-12-2018 00:00:00,,322,2635,265,167,121,178,107,400,1208
20-12-2018 00:00:00,,186,1658,229,60,103,104,36,151,395
21-12-2018 00:00:00,,240,1357,285,114,93,85,53,130,539
22-12-2018 00:00:00,,539,628,233,216,137,313,125,102,1258
23-12-2018 00:00:00,,355,1528,203,220,121,279,166,97,884
24-12-2018 00:00:00,,348,677,185,136,124,271,111,88,530
25-12-2018 00:00:00,,292,281,148,51,66,217,66,85,501
26-12-2018 00:00:00,,396,1066,154,166,132,254,98,160,822
27-12-2018 00:00:00,,288,1265,213,149,122,161,84,146,778
28-12-2018 00:00:00,,240,1042,270,139,93,71,34,112,535
29-12-2018 00:00:00,,631,2354,176,359,132,402,212,225,2452
30-12-2018 00:00:00,,484,760,302,221,97,214,136,119,1425
31-12-2018 00:00:00,,387,1550,371,171,114,172,54,136,1098
01-01-2019 00:00:00,,845,,150,259,132,384,299,184,2676
02-01-2019 00:00:00,,390,,178,223,162,211,143,444,1389
03-01-2019 00:00:00,,322,,133,167,149,145,120,382,1394
04-01-2019 00:00:00,,223,,266,116,108,63,53,251,627
05-01-2019 00:00:00,,962,,385,410,118,520,242,204,4263
06-01-2019 00:00:00,,815,,224,310,146,502,263,272,3646
07-01-2019 00:00:00,,408,,406,300,161,270,136,606,1627
08-01-2019 00:00:00,,462,,328,375,173,358,177,626,2013
09-01-2019 00:00:00,,355,,445,245,445,276,133,786,1468
10-01-2019 00:00:00,,363,,404,205,414,189,99,1058,1092
11-01-2019 00:00:00,,359,,505,208,275,185,93,694,1060
12-01-2019 00:00:00,,405,,381,201,103,369,65,168,1277
13-01-2019 00:00:00,,316,,205,103,88,179,77,94,861
14-01-2019 00:00:00,,290,,401,214,354,188,151,999,1271
15-01-2019 00:00:00,,328,,492,203,391,222,125,944,1288
16-01-2019 00:00:00,,382,,408,252,395,219,136,979,1497
17-01-2019 00:00:00,,226,,663,154,432,192,98,834,832
18-01-2019 00:00:00,,445,,506,248,302,212,135,555,1430
19-01-2019 00:00:00,,375,,496,212,134,250,72,104,1199
20-01-2019 00:00:00,,498,,95,213,175,325,158,107,1517
21-01-2019 00:00:00,,260,,183,171,157,167,85,212,927
22-01-2019 00:00:00,,272,,458,190,352,145,94,782,977
23-01-2019 00:00:00,,315,,342,199,327,338,121,712,1289
24-01-2019 00:00:00,,357,,598,230,394,205,202,809,1430
25-01-2019 00:00:00,,345,,99,176,310,197,113,571,1153
26-01-2019 00:00:00,,617,,104,309,175,348,203,304,2412
27-01-2019 00:00:00,,541,,79,191,143,317,171,164,1713
28-01-2019 00:00:00,,395,,97,229,380,260,134,689,1485
29-01-2019 00:00:00,,263,,94,149,341,164,88,723,855
30-01-2019 00:00:00,,264,,74,166,325,214,90,714,981
31-01-2019 00:00:00,,233,,90,182,371,163,95,710,965
01-02-2019 00:00:00,,425,,103,291,313,198,108,560,1472
02-02-2019 00:00:00,,1330,,79,652,216,407,246,204,4236
03-02-2019 00:00:00,,676,,76,339,156,435,180,198,2478
04-02-2019 00:00:00,,481,,93,324,370,335,173,743,2249
05-02-2019 00:00:00,,545,,120,393,429,359,207,839,2839
06-02-2019 00:00:00,,541,,104,384,355,289,187,774,2197
07-02-2019 00:00:00,,656,,96,464,395,318,224,944,2597
08-02-2019 00:00:00,,490,,112,331,277,259,154,551,1997
09-02-2019 00:00:00,,606,,68,340,144,310,130,204,2066
10-02-2019 00:00:00,,368,,73,160,153,234,94,110,1308
11-02-2019 00:00:00,,209,,562,227,408,156,103,948,1070
12-02-2019 00:00:00,,206,,476,146,394,89,69,592,547
13-02-2019 00:00:00,,389,,535,296,377,264,168,820,1824
14-02-2019 00:00:00,,421,,565,352,376,220,134,776,1526
15-02-2019 00:00:00,,598,,808,355,243,258,163,714,1938
16-02-2019 00:00:00,,533,,473,302,126,255,126,279,1657
17-02-2019 00:00:00,,291,,435,220,139,209,98,147,857
18-02-2019 00:00:00,,531,,638,255,399,318,204,659,2321
19-02-2019 00:00:00,,144,,366,156,372,155,46,494,492
20-02-2019 00:00:00,,186,,512,122,350,79,51,446,606
21-02-2019 00:00:00,,,,559,267,368,166,167,707,1674
22-02-2019 00:00:00,,,,452,145,261,107,55,283,578
23-02-2019 00:00:00,,,532,382,141,109,148,52,170,728
24-02-2019 00:00:00,,,1080,555,339,132,525,375,280,4559
25-02-2019 00:00:00,,,2802,600,296,379,280,160,710,1925
26-02-2019 00:00:00,,,3032,557,315,349,310,214,789,2308
27-02-2019 00:00:00,,,,740,235,367,210,159,731,1738
28-02-2019 00:00:00,,,2545,630,193,323,155,108,635,919
01-03-2019 00:00:00,,,2080,482,96,262,126,67,258,613
02-03-2019 00:00:00,,,1409,430,232,144,402,234,320,4628
03-03-2019 00:00:00,,486,566,523,112,110,229,82,180,1002
04-03-2019 00:00:00,,372,2554,489,206,158,199,148,635,1297
05-03-2019 00:00:00,,567,2662,477,243,153,271,135,717,1264
06-03-2019 00:00:00,,237,2794,482,199,140,138,143,624,1198
07-03-2019 00:00:00,,540,2670,533,305,126,166,204,775,1417
08-03-2019 00:00:00,,,1958,402,185,105,97,46,387,612
09-03-2019 00:00:00,,,1897,392,233,122,270,102,155,1355
10-03-2019 00:00:00,,,1215,565,237,135,333,204,165,2656
11-03-2019 00:00:00,,,2807,665,358,398,263,188,456,
12-03-2019 00:00:00,,,3155,583,402,381,331,256,533,
13-03-2019 00:00:00,,485,3135,564,340,314,329,203,435,
14-03-2019 00:00:00,,690,3208,655,361,382,302,193,552,
15-03-2019 00:00:00,,397,2415,652,270,297,167,108,277,
16-03-2019 00:00:00,,911,2684,568,410,200,343,216,374,
17-03-2019 00:00:00,,,992,545,253,225,345,268,152,
18-03-2019 00:00:00,,,2693,463,226,353,245,198,704,
19-03-2019 00:00:00,,,2878,495,243,363,241,167,775,
20-03-2019 00:00:00,,,2938,427,250,294,246,173,673,
21-03-2019 00:00:00,,,2760,488,242,347,194,132,655,
22-03-2019 00:00:00,,,2584,584,346,282,233,165,525,
